to_node   from_node      capacity       prob_failure
9            2          1000000          .001
9            22         1000000          .001
9            8          1000000          .001
9            13         1000000          .001
9            3          1000000          .001
9            16         1000000          .001
9            5          1000000          .001
8            13         1000000          .001
8            3          1000000          .001
8            9          1000000          .001
8            5         1000000          .001
3            6         1000000          .001
3            2         1000000          .001
3            8         1000000          .001
3            9         1000000          .001
2            6         1000000          .001
2            3         1000000          .001
2            17         1000000          .001
2            16         1000000          .001
2            9         1000000          .001
2            25         1000000          .001
2            21         1000000          .001
2            15         1000000          .001
2            20         1000000          .001
1            6         1000000          .001
1            25         1000000          .001
25            6         1000000          .001
25            2         1000000          .001
25            1         1000000          .001
25            7         1000000          .001
7            6         1000000          .001
7            4         1000000          .001
7            25         1000000          .001
7            5         1000000          .001
6            2         1000000          .001
6            1         1000000          .001
6            3         1000000          .001
6            7         1000000          .001
6            25         1000000          .001
5            8         1000000          .001
5            13         1000000          .001
5            4         1000000          .001
5            7         1000000          .001
5            9         1000000          .001
5            14         1000000          .001
4            7         1000000          .001
4            5         1000000          .001
19           17         1000000          .001
19           20         1000000          .001
18           17         1000000          .001
18           21         1000000          .001
13           22         1000000          .001
13           8         1000000          .001
13           11         1000000          .001
13           17         1000000          .001
13           12         1000000          .001
13           16         1000000          .001
13           9         1000000          .001
13           10         1000000          .001
13           5         1000000          .001
13           15         1000000          .001
12           13         1000000          .001
12           11         1000000          .001
12           24         1000000          .001
11           13         1000000          .001
11           12         1000000          .001
11           14         1000000          .001
11           10         1000000          .001
10           13         1000000          .001
10           11         1000000          .001
10           14         1000000          .001
17           18         1000000          .001
17           2         1000000          .001
17           22         1000000          .001
17           13         1000000          .001
17           19         1000000          .001
17           16         1000000          .001
17           21         1000000          .001
17           15         1000000          .001
17           20         1000000          .001
16           2         1000000          .001
16           13         1000000          .001
16           17         1000000          .001
16           9         1000000          .001
16           15         1000000          .001
15           2         1000000          .001
15           13         1000000          .001
15           17         1000000          .001
15           16         1000000          .001
15           21         1000000          .001
14           11         1000000          .001
14           10         1000000          .001
14           5         1000000          .001
22           13         1000000          .001
22           23         1000000          .001
22           17         1000000          .001
22           9         1000000          .001
22           24         1000000          .001
22           21         1000000          .001
23           22         1000000          .001
23           24         1000000          .001
20           2         1000000          .001
20           17         1000000          .001
20           19         1000000          .001
21           18         1000000          .001
21           2         1000000          .001
21           22         1000000          .001
21           17         1000000          .001
21           15         1000000          .001
24           22         1000000          .001
24           23         1000000          .001
24           12         1000000          .001
