to_node   from_node   capacity          prob_failure
1           2           800000000           .001
2           1           800000000           .001
2           5           800000000           .001
2           6           800000000           .001
2           12          800000000           .001
3           6           800000000           .001
3           9           800000000           .001
4           7           800000000           .001
4           10          800000000           .001
4           11          800000000           .001
5           2           800000000           .001
5           7           800000000           .001
5           8           800000000           .001
6           2           800000000           .001
6           3           800000000           .001
6           7           800000000           .001
7           4           800000000           .001
7           5           800000000           .001
7           6           800000000           .001
8           5           800000000           .001
8           10          800000000           .001
9           3           800000000           .001
9           12          800000000           .001
10          4           800000000           .001
10          8           800000000           .001
10          11          800000000           .001
11          4           800000000           .001
11          10          800000000           .001
12          2           800000000           .001
12          9           800000000           .001
