to_node   from_node   capacity          prob_failure
1           2          5000000           .004
1           3          5000000           .004
2           1          5000000           .004
2           5          5000000           .004
3           1          5000000           .004
3           4          5000000           .004
3           6          5000000           .004
4           3          5000000           .004
4           5          5000000           .004
4           7          5000000           .004
4           8          5000000           .004
5           2          5000000           .004
5           4          5000000           .004
5           6          5000000           .004
6           3          5000000           .004
6           5          5000000           .004
6           7          5000000           .004
6           8          5000000           .004
7           4          5000000           .004
7           6          5000000           .004
7           8          5000000           .004
7           11           5000000           .004
8           4          5000000           .004
8           6          5000000           .004
8           7          5000000           .004
8           10           5000000           .004
9           10           5000000           .004
9           11           5000000           .004
10          8           5000000           .004
10          9           5000000           .004
10          11          5000000           .004
10          12          5000000           .004
11          7           5000000           .004
11          9           5000000           .004
11          10          5000000           .004
11          12          5000000           .004
12          10          5000000           .004
12          11          5000000           .004
