to_node   from_node   capacity   prob_failure
    1        2          10          .01
    2        1          10          .01
    1        3          10          .01
    3        1          10          .01
    1        4          10          .01
    4        1          10          .01
    2        4          10          .01
    4        2          10          .01
    3        4          10          .01
    4        3          10          .01
    4        5          10          .01
    5        4          10          .01
    4        6          10          .01
    6        4          10          .01
    2        5          10          .01
    5        2          10          .01
    6        3          10          .01
    3        6          10          .01
