to_node   from_node   capacity   prob_failure
    1       5          5000000           .01
    5       1          5000000           .01
    1       4          5000000           .01       
    4       1          5000000           .01
    1       2          5000000           .01
    2       1          5000000           .01
    2       3          5000000           .01
    3       2          5000000           .01
    3       4          5000000           .01
    4       3          5000000           .01
    3       5          5000000           .01
    5       3          5000000           .01
    4       5          5000000           .01
    5       4          5000000           .01
