to_node   from_node   capacity          prob_failure
    9       10             1000000000           .001
    9       15             1000000000           .001
    8       11             1000000000           .001
    8       2              1000000000           .001
    3       17              1000000000           .001
    3       2              1000000000           .001
    2       13             1000000000           .001
    2       8              1000000000           .001
    2       3              1000000000           .001
    1       17              1000000000           .001
    1       14             1000000000           .001
    17       1              1000000000           .001
    17       3              1000000000           .001
    7       10             1000000000           .001
    7       11             1000000000           .001
    6       14             1000000000           .001
    6       5              1000000000           .001
    5       6              1000000000           .001
    5       12             1000000000           .001
    4       13             1000000000           .001
    4       11             1000000000           .001
    13      12            1000000000           .001
    13      4             1000000000           .001
    13      2             1000000000           .001
    12      13            1000000000           .001
    12      5             1000000000           .001
    11      8             1000000000           .001
    11      7             1000000000           .001
    11      4             1000000000           .001
    10      16            1000000000           .001
    10      9             1000000000           .001
    10      7             1000000000           .001
    16      10            1000000000           .001
    16      15            1000000000           .001
    15      16            1000000000           .001
    15      9             1000000000           .001
    14      6             1000000000           .001
    14      1             1000000000           .001
