to_node   from_node   capacity          prob_failure
	9         10	   1000000000           .004
	9         8	 	   1000000000           .004
	9         4	 	   1000000000           .004
	8         3	 	   1000000000           .004
	8         7	 	   1000000000           .004
	8         4	 	   1000000000           .004
	8         9	 	   1000000000           .004
	3         8	 	   1000000000           .004
	3         4	 	   1000000000           .004
	2         0	 	   1000000000           .004
	1         10	   1000000000           .004
	1         6	 	   1000000000           .004
	0         7	 	   1000000000           .004
	0         4	 	   1000000000           .004
	0         2	 	   1000000000           .004
	7         10	   1000000000           .004
	7         8	 	   1000000000           .004
	7         6	 	   1000000000           .004
	7         0	 	   1000000000           .004
	6         10	   1000000000           .004
	6         7	 	   1000000000           .004
	6         1	 	   1000000000           .004
	6         5	 	   1000000000           .004
	5         4	 	   1000000000           .004
	5         6	 	   1000000000           .004
	4         10	   1000000000           .004
	4         3	 	   1000000000           .004
	4         8	 	   1000000000           .004
	4         9	 	   1000000000           .004
	4         5	 	   1000000000           .004
	4         0	 	   1000000000           .004
	10        7	 	   1000000000           .004
	10        1	 	   1000000000           .004
	10        4	 	   1000000000           .004
	10        9	 	   1000000000           .004
	10        6	 	   1000000000           .004
