to_node, from_node, capacity, prob_failure
1, 2, 1000000000, .004
1, 3, 1000000000, .004
2, 1, 1000000000, .004
2, 5, 1000000000, .004
3, 1, 1000000000, .004
3, 4, 1000000000, .004
3, 6, 1000000000, .004
4, 3, 1000000000, .004
4, 5, 1000000000, .004
4, 7, 1000000000, .004
4, 8, 1000000000, .004
5, 2, 1000000000, .004
5, 4, 1000000000, .004
5, 6, 1000000000, .004
6, 3, 1000000000, .004
6, 5, 1000000000, .004
6, 7, 1000000000, .004
6, 8, 1000000000, .004
7, 4, 1000000000, .004
7, 6, 1000000000, .004
7, 8, 1000000000, .004
7, 11, 1000000000, .004
8, 4, 1000000000, .004
8, 6, 1000000000, .004
8, 7, 1000000000, .004
8, 10, 1000000000, .004
9, 10, 1000000000, .004
9, 11, 1000000000, .004
10, 8, 1000000000, .004
10, 9, 1000000000, .004
10, 11, 1000000000, .004
10, 12, 1000000000, .004
11, 7, 1000000000, .004
11, 9, 1000000000, .004
11, 10, 1000000000, .004
11, 12, 1000000000, .004
12, 10, 1000000000, .004
12, 11, 1000000000, .004
