to_node, from_node, capacity, prob_failure
9, 2, 1000000000, .01
9, 17, 1000000000, .01
8, 12, 1000000000, .01
8, 4, 1000000000, .01
3, 10, 1000000000, .01
3, 2, 1000000000, .01
2, 9, 1000000000, .01
2, 3, 1000000000, .01
2, 4, 1000000000, .01
1, 6, 1000000000, .01
1, 17, 1000000000, .01
1, 5, 1000000000, .01
10, 7, 1000000000, .01
10, 3, 1000000000, .01
7, 10, 1000000000, .01
7, 6, 1000000000, .01
6, 1, 1000000000, .01
6, 7, 1000000000, .01
6, 4, 1000000000, .01
6, 16, 1000000000, .01
5, 1, 1000000000, .01
5, 4, 1000000000, .01
5, 15, 1000000000, .01
4, 2, 1000000000, .01
4, 8, 1000000000, .01
4, 6, 1000000000, .01
4, 5, 1000000000, .01
13, 14, 1000000000, .01
13, 12, 1000000000, .01
12, 13, 1000000000, .01
12, 8, 1000000000, .01
12, 11, 1000000000, .01
11, 12, 1000000000, .01
11, 17, 1000000000, .01
17, 1, 1000000000, .01
17, 9, 1000000000, .01
17, 14, 1000000000, .01
17, 11, 1000000000, .01
16, 6, 1000000000, .01
16, 15, 1000000000, .01
15, 14, 1000000000, .01
15, 16, 1000000000, .01
15, 5, 1000000000, .01
14, 13, 1000000000, .01
14, 17, 1000000000, .01
14, 15, 1000000000, .01
